YEAR,CALIFORNIA STATE MARIJUANA TAX REVENUE
2018,"$401,606,924"
2019,"$646,623,189"
2020,"$1,135,451,706"
2021,"$1,361,747,183"
2022,"$1,115,967,422"
2023,"$1,082,452,368"
