Date,Observer,Group,Focal ID,Focal Fatness,Time,NN ID,NN Fatness,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM7,3,11:39 AM,AM,3,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:33 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:34 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:35 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:36 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:41 AM,AM,1,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:42 AM,AM,1,,,,,,,,,,,,,,,,,,
8/4/25,KAMRYN,A,AM,1,8:34,AM,2,,,,,,,,,,,,,,,,,,
8/4/25,KAMRYN,A,AM,3,10:41,AM,3,,,,,,,,,,,,,,,,,,
8/8/25,KAMRYN,A,AM8,2,8:31,AM,2,,,,,,,,,,,,,,,,,,
8/8/25,KAMRYN,A,AM8,2,8:32,AM,2,,,,,,,,,,,,,,,,,,
7/9,Casey,A,AM8,2,9:58,AM,2,,,,,,,,,,,,,,,,,,
7/9,Casey,A,AM8,2,9:59,AM,2,,,,,,,,,,,,,,,,,,
8/1,Casey,A,AM,2,10:14,AM7,3,,,,,,,,,,,,,,,,,,
8/7,Casey,A,AM5,3,8:07,AM3,2,,,,,,,,,,,,,,,,,,
8/11,Casey,A,AM8,2,10:11,AM,1,,,,,,,,,,,,,,,,,,
6/30/25,Bella,A,AM7,3,9:47 AM,AM,2,,,,,,,,,,,,,,,,,,
6/30/25,Bella,A,Eye AM,3,10:29 AM,AM,2,,,,,,,,,,,,,,,,,,
7/7/25,Bella ,A,AM,3,8:16 AM,AM,3,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM5,3,9:51 AM,AM,2,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM5,3,9:53 AM,AM,2,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM7,3,11:39 AM,AM,3,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM3,2,11:49 AM,AM,3,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM3,2,11:50 AM,AM,3,,,,,,,,,,,,,,,,,,
7/21/25,Bella ,A,AM3,2,11:55 AM,AM,3,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:33 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:34 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:35 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:36 AM,AM8,2,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,AM7,3,8:41 AM,AM,1,,,,,,,,,,,,,,,,,,
7/31/25,Bella ,A,damaged AM,1,9:56 AM,AM,3,,,,,,,,,,,,,,,,,,
8/6/25,Bella ,A,AM8,2,7:52 AM,Joker AM,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,3,10:11 AM,AM,3,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,11:58am,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,11:59am,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:00pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:01pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:02pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:03pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:06pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:13pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:14pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:15pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:16pm,AM,1,,,,,,,,,,,,,,,,,,
7/18/23,Jilly,B,AM,2,12:18pm,AM,1,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,1,10:55am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,1,10:57am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,1,10:59am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:24am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:25am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:26am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:27am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:28am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:29am,AM,3,,,,,,,,,,,,,,,,,,
7/19/23,Jilly,B,AM,2,11:30am,AM,3,,,,,,,,,,,,,,,,,,
7/25/23,Jilly,B,AM,2,10:10am,AM,2,,,,,,,,,,,,,,,,,,
7/25/23,Jilly,B,AM,3,10:21am,AM,1,,,,,,,,,,,,,,,,,,
7/25/23,Jilly,B,AM,3,10:23am,AM,2,,,,,,,,,,,,,,,,,,
7/28/23,Jilly,B,AM,3,9:44am,AM,1,,,,,,,,,,,,,,,,,,
7/28/23,Jilly,B,AM,1,10:41am,AM,3,,,,,,,,,,,,,,,,,,
7/28/23,Jilly,B,AM,1,10:42am,AM,3,,,,,,,,,,,,,,,,,,
7/28/23,Jilly,B,AM,1,10:43am,AM,3,,,,,,,,,,,,,,,,,,
7/28/23,Jilly,B,AM,1,10:44am,AM,3,,,,,,,,,,,,,,,,,,
7/28/23,Jilly,B,AM,1,10:45am,AM,3,,,,,,,,,,,,,,,,,,
8/7/23,Jilly,B,AM,3,10:41am,AM,2,,,,,,,,,,,,,,,,,,
7/26/23,Jacob,B,AM,3,10:06am,AM,2,,,,,,,,,,,,,,,,,,
7/28/23,Jacob,B,AM,3,10:41am,AM,1,,,,,,,,,,,,,,,,,,
7/28/23,Jacob,B,AM,3,10:42am,AM,1,,,,,,,,,,,,,,,,,,
7/28/23,Jacob,B,AM,3,10:43am,AM,1,,,,,,,,,,,,,,,,,,
7/28/23,Jacob,B,AM,3,10:44am,AM,1,,,,,,,,,,,,,,,,,,
7/28/23,Jacob,B,AM,3,10:45am,AM,1,,,,,,,,,,,,,,,,,,
7/28/23,Jacob,B,AM,3,10:46am,AM,1,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:21am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:22am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:23am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:24am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:25am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:27am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:28am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:30am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,2,11:31am,AM,3,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,3,11:33am,AM,2,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,3,11:34am,AM,2,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,3,11:35am,AM,2,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,3,11:36am,AM,1,,,,,,,,,,,,,,,,,,
8/3/23,Jacob,B,AM,3,11:37am,AM,2,,,,,,,,,,,,,,,,,,
7/30/24,Vanessa,B,AM6,3,10:24,AM1,3,,,,,,,,,,,,,,,,,,
7/30/24,Vanessa,B,AM9,3,11:16,AM6,3,,,,,,,,,,,,,,,,,,
8/1/24,Landon,B,AM1,3,9:43,AM,3,,,,,,,,,,,,,,,,,,
8/7/25,KAMRYN,B,AM1,3,8:56,AM,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:24,AM6,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:25,AM6,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:28,AM6,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:29,AM6,3,,,,,,,,,,,,,,,,,,
7/11/25,Bella ,B,AM9,2,10:44 AM,AM6,3,,,,,,,,,,,,,,,,,,
7/21/25,KAMRYN,B,AM,2,11:30,AM,3,,,,,,,,,,,,,,,,,,
8/7/25,KAMRYN,B,AM1,3,8:56,AM,2,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:24,AM6,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:25,AM6,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:28,AM6,3,,,,,,,,,,,,,,,,,,
8/6,Casey,B,AM,3,12:29,AM6,3,,,,,,,,,,,,,,,,,,
8/9,Casey,B,AM,1,9:05,AM,2,,,,,,,,,,,,,,,,,,
8/9,Casey,B,AM,1,9:06,AM,2,,,,,,,,,,,,,,,,,,
8/9,Casey,B,AM,1,9:07,AM,2,,,,,,,,,,,,,,,,,,
8/9,Casey,B,AM,1,9:08,AM,2,,,,,,,,,,,,,,,,,,
7/11/25,Bella ,B,AM9,2,10:44 AM,AM6,3,,,,,,,,,,,,,,,,,,
