Date,Observer,Group,Focal ID,Focal Fatness,Time,NN ID,NN Fatness
07/28/2023,Jacob,B,AM,3,10:45:00 AM,,1
07/28/2023,Jacob,B,AM,3,10:46:00 AM,,1
08/03/2023,Jacob,B,AM,2,11:21:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:22:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:23:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:24:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:25:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:27:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:28:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:30:00 AM,,3
08/03/2023,Jacob,B,AM,2,11:31:00 AM,,3
08/03/2023,Jacob,B,AM,3,11:33:00 AM,,2
08/03/2023,Jacob,B,AM,3,11:34:00 AM,,2
08/03/2023,Jacob,B,AM,3,11:35:00 AM,,2
08/03/2023,Jacob,B,AM,3,11:36:00 AM,,1
08/03/2023,Jacob,B,AM,3,11:37:00 AM,,2
07/30/2024,Vanessa,B,AM6,3,10:24:00 AM,AM1,3
07/30/2024,Vanessa,B,AM9,3,11:16:00 AM,AM6,3
08/01/2024,Landon,B,AM1,3,09:43:00 AM,,3
