Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,,,,,,,,,,,,,,,
7/18/23,Jilly,A,10:08,AM,3,AM,1,TH ,Actor,Y,,,,,,,,,,,,,,,
7/19/23,Jilly,B,11:33,AM,2,AM,3,AT,Recipient,Y,,,,,,,,,,,,,,,
7/19/23,Jilly,B,11:38,AM,2,AM,1,CH,Actor,Y,,,,,,,,,,,,,,,
7/19/23,Jilly,B,11:05,AM,3,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
7/19/23,Jilly,B,11:00,AM,3,AM,2,FT,Actor,Y ,,,,,,,,,,,,,,,
7/20/23,Jilly,B,9:11,AM,3,AM and AM,1 and 3,FT,Actor,Y,,,,,,,,,,,,,,,
7/22/23,Anita,A,11:08,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/22/23,Anita,A,11:38,AM5,3,AM,2,CH,Actor,U,,,,,,,,,,,,,,,
7/22/23,Anita,A,10:35,AM5,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/24/23,Jilly,A,9:27,AM,3,AM,3 and 3,CH,Actor,N,,,,,,,,,,,,,,,
7/24/23,Jilly,A,9:12,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/24/23,Jilly,A,10:21,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/24/23,Jilly,A,9:52,AM,3,AM,3,FT,Recipient,N,,,,,,,,,,,,,,,
7/24/23,Jilly,A,10:05,AM,2,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
7/24/23,Jilly,A,10:32,AM,3,AM,3,FT,Actor,Y,,,,,,,,,,,,,,,
7/25/23,Jilly,B,10:00,AM,3,AM,3,CH,Actor,Y,,,,,,,,,,,,,,,
7/25/23,Jilly,B,9:59,AM,3,AM,3 and 2,FT,Actor,Y,,,,,,,,,,,,,,,
7/26/23,Jilly,A,11:39,AM,3,AM,2,CH,Actor,N,,,,,,,,,,,,,,,
7/26/23,Anita,A,11:36,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/26/23,Anita,A,11:40,AM,3,AM,2,FT,Actor,N,,,,,,,,,,,,,,,
7/26/23,Jilly,A,11:38,AM,2,AM,3,FT,Recipient,N,,,,,,,,,,,,,,,
7/26/23,Jilly,A,8:00,AM,2,AM,3,TH,Recipient,Y,,,,,,,,,,,,,,,
