id,latitude,longitude,scientific_name,common_name
25899284,34.4263033333,-119.301895,Lynx rufus,Bobcat
30527459,34.0047702064,-118.9388207964,Lynx rufus,Bobcat
32253334,34.175597331,-118.9597554443,Lynx rufus,Bobcat
34450293,34.0740471697,-119.0157744647,Lynx rufus,Bobcat
35425592,34.2122057857,-118.6931670473,Lynx rufus,Bobcat
35514993,34.2472237129,-118.7649082302,Lynx rufus,Bobcat
35518789,34.6877859526,-119.3578035984,Lynx rufus,Bobcat
35645888,34.6960563466,-119.270852057,Lynx rufus,Bobcat
35645939,34.6957707712,-119.2722024575,Lynx rufus,Bobcat
35877075,34.1253860737,-119.1063529616,Lynx rufus,Bobcat
35878218,34.6878711272,-119.3588579669,Lynx rufus,Bobcat
36298544,34.6879166667,-119.3588716667,Lynx rufus,Bobcat
36695109,34.3087283333,-119.0974416667,Lynx rufus,Bobcat
37008266,34.4065866667,-119.341705,Lynx rufus,Bobcat
37250515,34.17045333,-118.88664167,Lynx rufus,Bobcat
38524740,34.324075,-119.2341055556,Lynx rufus,Bobcat
38874089,34.2978156224,-119.1982589913,Lynx rufus,Bobcat
39280699,34.31888667,-119.36513667,Lynx rufus,Bobcat
39292943,34.2123144716,-118.6925179528,Lynx rufus,Bobcat
40611138,34.31763333,-119.36589167,Lynx rufus,Bobcat
41070353,34.4278133333,-119.1349111667,Lynx rufus,Bobcat
41141188,34.4299966667,-119.1314305,Lynx rufus,Bobcat
42736364,34.3785401825,-119.3016880569,Lynx rufus,Bobcat
43688514,34.6853,-119.35976333,Lynx rufus,Bobcat
43826836,34.457807,-118.851461,Lynx rufus,Bobcat
44942748,34.2716528718,-118.6826146199,Lynx rufus,Bobcat
45753105,34.4607222222,-118.9254388889,Lynx rufus,Bobcat
48086836,34.439705,-119.13462783,Lynx rufus,Bobcat
48178109,34.1548711256,-118.9157844833,Lynx rufus,Bobcat
49439081,34.2138074822,-118.6930969214,Lynx rufus,Bobcat
49598619,34.42592,-119.13535283,Lynx rufus,Bobcat
55313613,34.0780788151,-119.0176598082,Lynx rufus,Bobcat
57426759,34.4528808182,-118.9064368041,Lynx rufus,Bobcat
57616430,34.0500945737,-118.8476505426,Lynx rufus,Bobcat
58302966,34.205752719,-118.9118296499,Lynx rufus,Bobcat
59101317,34.6957595368,-119.2724304894,Lynx rufus,Bobcat
59101692,34.6404893633,-119.3247642186,Lynx rufus,Bobcat
59102046,34.6716978048,-119.3273565587,Lynx rufus,Bobcat
59280822,34.666341946,-119.2582960342,Lynx rufus,Bobcat
60157178,34.39849667,-118.79294667,Lynx rufus,Bobcat
60157230,34.398495,-118.79293833,Lynx rufus,Bobcat
60230111,34.294093392,-119.2149556551,Lynx rufus,Bobcat
60569044,34.45195833,-118.75868333,Lynx rufus,Bobcat
61865362,34.3910447746,-118.877530862,Lynx rufus,Bobcat
61948981,34.0508186037,-118.8585876704,Lynx rufus,Bobcat
62364655,34.3468075102,-119.1665877889,Lynx rufus,Bobcat
63060661,34.1631230874,-118.8540815932,Lynx rufus,Bobcat
63191349,34.1542945,-118.97377,Lynx rufus,Bobcat
63282402,34.15441117,-118.97377,Lynx rufus,Bobcat
64402857,34.1639960388,-118.8404685288,Lynx rufus,Bobcat
64760571,34.1539611667,-118.9486166667,Lynx rufus,Bobcat
64774408,34.3487468402,-119.1581376269,Lynx rufus,Bobcat
64830652,34.690270651,-119.2947185389,Lynx rufus,Bobcat
64834133,34.6883039725,-119.3590309891,Lynx rufus,Bobcat
64834134,34.6883392601,-119.3589988026,Lynx rufus,Bobcat
64834143,34.6881508052,-119.3590685406,Lynx rufus,Bobcat
64834148,34.6883360651,-119.3589612522,Lynx rufus,Bobcat
64870846,34.4410283333,-119.1350555,Lynx rufus,Bobcat
65301808,34.2421537669,-118.6789605073,Lynx rufus,Bobcat
65333821,34.2423183509,-118.6773906792,Lynx rufus,Bobcat
65380743,34.6878642009,-119.3586495433,Lynx rufus,Bobcat
66109372,34.42582,-119.1346888333,Lynx rufus,Bobcat
66442653,34.4253383333,-119.1354,Lynx rufus,Bobcat
66863873,34.0966027778,-118.9728805556,Lynx rufus,Bobcat
66902192,34.4167582311,-119.3395026033,Lynx rufus,Bobcat
67341892,34.4547041371,-118.9078004632,Lynx rufus,Bobcat
67857272,34.24153833,-118.67880333,Lynx rufus,Bobcat
68343069,34.2597383333,-118.6548216667,Lynx rufus,Bobcat
70260116,34.447525,-119.1351555,Lynx rufus,Bobcat
70375109,34.0730056077,-118.8968062252,Lynx rufus,Bobcat
71269226,34.1200778333,-119.0013888883,Lynx rufus,Bobcat
71600525,34.4502751569,-118.9010131815,Lynx rufus,Bobcat
72065535,34.6820854284,-119.3551797483,Lynx rufus,Bobcat
72164770,34.4396133333,-119.1358638333,Lynx rufus,Bobcat
72632693,34.3991612272,-118.9181540161,Lynx rufus,Bobcat
73447901,34.2707168127,-119.1962598637,Lynx rufus,Bobcat
75320078,34.1541619619,-118.9495581135,Lynx rufus,Bobcat
77060517,34.3113888889,-118.7305555556,Lynx rufus,Bobcat
77170759,34.1263404767,-119.1034245487,Lynx rufus,Bobcat
77274237,34.6990483333,-119.2886816667,Lynx rufus,Bobcat
77716828,34.307169,-118.753481,Lynx rufus,Bobcat
82181683,34.1718866667,-118.8742216667,Lynx rufus,Bobcat
83962284,34.158671,-118.807919,Lynx rufus,Bobcat
84020885,34.2694474,-118.781482,Lynx rufus,Bobcat
84109349,34.424675,-119.1316083333,Lynx rufus,Bobcat
84302417,34.3668033157,-119.3128775803,Lynx rufus,Bobcat
84304516,34.3632845228,-119.3125093671,Lynx rufus,Bobcat
84357146,34.4383740086,-119.2337901075,Lynx rufus,Bobcat
87942398,34.4832630379,-118.7603549308,Lynx rufus,Bobcat
88457783,34.3695366667,-119.0588445,Lynx rufus,Bobcat
90660948,34.1544721667,-118.9565883333,Lynx rufus,Bobcat
91012200,34.2648953236,-118.6788954549,Lynx rufus,Bobcat
91012396,34.2649838625,-118.6793480677,Lynx rufus,Bobcat
91012532,34.2650993447,-118.6790625352,Lynx rufus,Bobcat
91706650,34.6121656,-119.3102243,Lynx rufus,Bobcat
93377159,34.695655,-119.2735533333,Lynx rufus,Bobcat
93377314,34.6956133333,-119.2735583333,Lynx rufus,Bobcat
93380358,34.6957583333,-119.2735216667,Lynx rufus,Bobcat
93407389,34.69578,-119.2710583333,Lynx rufus,Bobcat
95172277,34.22812,-118.797146,Lynx rufus,Bobcat
95781341,34.1325890364,-118.9076803196,Lynx rufus,Bobcat
96751110,34.2562953143,-118.8393229071,Lynx rufus,Bobcat
