id,latitude,longitude,scientific_name,common_name
194196403,34.6822152195,-119.3046023774,Puma concolor,Mountain Lion
197616371,34.3643948977,-118.6788396519,Puma concolor,Mountain Lion
198832569,34.389439682,-119.0026080608,Puma concolor,Mountain Lion
200222852,34.4364383333,-119.2662966667,Puma concolor,Mountain Lion
200871667,34.422090145,-118.9082426118,Puma concolor couguar,North American Mountain Lion
201238498,34.4585833333,-119.3018633333,Puma concolor couguar,North American Mountain Lion
201238535,34.4587633333,-119.3018883333,Puma concolor couguar,North American Mountain Lion
201238592,34.445825,-119.2338333333,Puma concolor couguar,North American Mountain Lion
201238698,34.4573666667,-119.3081883333,Puma concolor,Mountain Lion
203323093,34.30159007,-118.6162593761,Puma concolor,Mountain Lion
203743518,34.6800217437,-118.8443878159,Puma concolor,Mountain Lion
207088344,34.2710090893,-118.788923666,Puma concolor,Mountain Lion
220813030,34.1258305556,-118.9291888889,Puma concolor,Mountain Lion
234613454,34.2954642056,-119.2555191675,Puma concolor,Mountain Lion
238465795,34.3137383522,-118.7544737969,Puma concolor,Mountain Lion
249593922,34.5598328774,-118.8741048763,Puma concolor,Mountain Lion
249951531,34.2323736,-118.7874386,Puma concolor,Mountain Lion
255044986,34.406362897,-119.0345338435,Puma concolor couguar,North American Mountain Lion
255045540,34.427971294,-119.0864179834,Puma concolor couguar,North American Mountain Lion
255049076,34.5609894855,-119.0122010783,Puma concolor couguar,North American Mountain Lion
257255615,34.5649480099,-119.0475258805,Puma concolor couguar,North American Mountain Lion
259826836,34.3360852205,-118.6789748181,Puma concolor,Mountain Lion
260974508,34.3007948144,-118.6246663901,Puma concolor,Mountain Lion
262321556,34.396782,-118.888352,Puma concolor,Mountain Lion
262325059,34.3668442942,-118.6573256856,Puma concolor,Mountain Lion
262330550,34.3257414112,-118.9588184244,Puma concolor,Mountain Lion
263228575,34.5088183,-119.3837515,Puma concolor,Mountain Lion
