Name,Team,Meet,Time,Flags,links_for_scores,Event,score,pts
Owan Fralick,California Lutheran,Occidental Invite,28.33,R,https://www.swimcloud.com/results/321956/event/23/?id=137230622#time137230622,50 Back,NA,634
Caroline Kundahl,Chapman,SCIAC Championships,28.41,X,https://www.swimcloud.com/results/310385/event/24/?id=146860793#time146860793,50 Back,NA,634
Molly Beetner,C-M-S,Cal Lu & LaVerne at CMS,28.53,R,https://www.swimcloud.com/results/330051/event/1/?id=142391556#time142391556,50 Back,10,NA
Nina Aballea,Pomona-Pitzer,Biola vs Pomona-Pitzer,28.56,R,https://www.swimcloud.com/results/331260/event/3/?id=143307137#time143307137,50 Back,NA,623
Kileigh Ackerman,Redlands,SCIAC Championships,28.57,R,https://www.swimcloud.com/results/310385/event/1/?id=146862109#time146862109,50 Back,–,NA
Palak Dhami,Chapman,"Pomoa Pitzer vs. Chapman, CIT",28.66,R,https://www.swimcloud.com/results/332947/event/3/?id=143928961#time143928961,50 Back,NA,NA
Kathy Munoz,Occidental,SCIAC Championships,28.67,X,https://www.swimcloud.com/results/310385/event/24/?id=146860812#time146860812,50 Back,1,NA
May Ling Roberts,Pomona-Pitzer,UC Santa Cruz v Pomona-Pitzer,28.67,X R,https://www.swimcloud.com/results/333169/event/1/?id=144029621#time144029621,50 Back,28,NA
Alanna Baker,Pomona-Pitzer,SCIAC Championships,28.68,X,https://www.swimcloud.com/results/310385/event/24/?id=146860817#time146860817,50 Back,–,NA
Caroline Agostini,Occidental,SCIAC Championships,28.72,R,https://www.swimcloud.com/results/310385/event/1/?id=146862103#time146862103,50 Back,NA,613
Valerie Mello,Pomona-Pitzer,CMS vs. Pomona,28.88,X,https://www.swimcloud.com/results/335979/event/21/?id=145468523#time145468523,50 Back,NA,611
Kaile Itow,Redlands,Redlands vs. Whittier vs. Occidental,28.93,R,https://www.swimcloud.com/results/332075/event/1/?id=144956599#time144956599,50 Back,14,NA
Lang Davison,Chapman,La Verne Invitational,28.98,R,https://www.swimcloud.com/results/321222/event/11/?id=137407561#time137407561,50 Back,24,NA
Maia Ciccarello,California Lutheran,SCIAC Championships,29.01,X,https://www.swimcloud.com/results/310385/event/24/?id=146860785#time146860785,50 Back,–,NA
Abby Sellman,Chapman,Chapman vs. Mt. San Antonio College,29.06,NA,https://www.swimcloud.com/results/316589/event/17/?id=133879806#time133879806,50 Back,NA,591
Mackenzie Mayfield,C-M-S,Caltech vs. C-M-S,29.08,X,https://www.swimcloud.com/results/314105/event/9/?id=136111884#time136111884,50 Back,1,NA
Kathryn Bennett Jones,Pomona-Pitzer,"Pomoa Pitzer vs. Chapman, CIT",29.12,X,https://www.swimcloud.com/results/332947/event/9/?id=143928868#time143928868,50 Back,NA,589
Anna Werts,C-M-S,La Verne Invitational,29.33,X,https://www.swimcloud.com/results/321222/event/21/?id=137407022#time137407022,50 Back,32,NA
Mia Kronson,Pomona-Pitzer,CMS vs. Pomona-Pitzer,29.35,R,https://www.swimcloud.com/results/324574/event/13/?id=138342067#time138342067,50 Back,NA,586
Debbie Wells,C-M-S,Claremont-Mudd-Scripps vs. UC San Diego,29.36,R,https://www.swimcloud.com/results/317347/event/1/?id=134101711#time134101711,50 Back,–,NA
Mary Grace Martin,C-M-S,Whittier vs. C-M-S vs. Chapman,29.36,R,https://www.swimcloud.com/results/318057/event/1/?id=135174191#time135174191,50 Back,–,NA
Ellie Wang,Caltech,SCIAC Championships,29.51,X R,https://www.swimcloud.com/results/310385/event/27/?id=146862064#time146862064,50 Back,NA,583
Aanya Kongettira,C-M-S,La Verne Invitational,29.56,R,https://www.swimcloud.com/results/321222/event/11/?id=137407563#time137407563,50 Back,26,NA
Chesna Pelka,Pomona-Pitzer,Whittier vs. Pomona-Pitzer,29.65,X,https://www.swimcloud.com/results/328847/event/7/?id=142214113#time142214113,50 Back,20,NA
Karen Zhou,Caltech,Caltech vs. La Verne,29.74,R,https://www.swimcloud.com/results/314107/event/3/?id=144736169#time144736169,50 Back,17,NA
Cam Alexander,California Lutheran,Occidental Invite,29.88,R,https://www.swimcloud.com/results/321956/event/23/?id=137230625#time137230625,50 Back,16,NA
Lina Matera,Redlands,La Verne Invitational,30.02,X,https://www.swimcloud.com/results/321222/event/21/?id=137407082#time137407082,50 Back,15,NA
Bianca Bayer,Chapman,Chapman vs. Occidental,30.05,NA,https://www.swimcloud.com/results/329445/event/19/?id=142243471#time142243471,50 Back,4,NA
Emily Yu,Caltech,Occidental Invite,30.22,X R,https://www.swimcloud.com/results/321956/event/3/?id=137230587#time137230587,50 Back,NA,707
Paulina Naydenkov,Caltech,Occidental Invite,30.33,R,https://www.swimcloud.com/results/321956/event/23/?id=137230628#time137230628,50 Back,13,NA
Sophia Chao,Chapman,Chapman vs. Occidental,30.43,NA,https://www.swimcloud.com/results/329445/event/19/?id=142243473#time142243473,50 Back,12,NA
