Name,Team,Meet,Time,Flags,links_for_scores,Event,score,pts
Francesca Coppo,Pomona-Pitzer,SCIAC Championships,22.84,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861308#time146861308,50 Free,20,NA
Valerie Mello,Pomona-Pitzer,SCIAC Championships,22.9,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861316#time146861316,50 Free,17,NA
Madi Bodhidatta,California Lutheran,SCIAC Championships,23.4,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861254#time146861254,50 Free,16,NA
Madeleine Kan,C-M-S,SCIAC Championships,23.49,D3 B,https://www.swimcloud.com/results/310385/event/11/?id=146861295#time146861295,50 Free,15,NA
Charlotte Dixon,Pomona-Pitzer,UC Santa Cruz v Pomona-Pitzer,23.7,NA,https://www.swimcloud.com/results/333169/event/7/?id=144029469#time144029469,50 Free,4,NA
Joy Lee,Pomona-Pitzer,SCIAC Championships,23.71,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861312#time146861312,50 Free,NA,707
Nina Aballea,Pomona-Pitzer,SCIAC Championships,23.81,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861304#time146861304,50 Free,13,NA
Chesna Pelka,Pomona-Pitzer,SCIAC Championships,23.86,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861319#time146861319,50 Free,12,NA
Breann Bracken,California Lutheran,SCIAC Championships,23.98,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861256#time146861256,50 Free,9,NA
Mackenzie Mayfield,C-M-S,SCIAC Championships,23.99,R,https://www.swimcloud.com/results/310385/event/13/?id=146862032#time146862032,50 Free,34,NA
Sabrina Wang,Pomona-Pitzer,SCIAC Championships,24.01,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861323#time146861323,50 Free,NA,681
Alyssa Kooy,Chapman,SCIAC Championships,24.04,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861279#time146861279,50 Free,6.50,NA
Sachi Tanizaki-Hudson,Chapman,SCIAC Championships,24.04,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861287#time146861287,50 Free,6.50,NA
Annika Sharma,C-M-S,CMS vs. Pomona-Pitzer,24.2,R,https://www.swimcloud.com/results/324574/event/11/?id=138342254#time138342254,50 Free,4,NA
Ally Rudolph,C-M-S,SCIAC Championships,24.21,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861298#time146861298,50 Free,NA,664
Tatum Chambers,Chapman,SCIAC Championships,24.24,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861275#time146861275,50 Free,5,NA
Avery Hall,Chapman,SCIAC Championships,24.24,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861276#time146861276,50 Free,NA,661
May Ling Roberts,Pomona-Pitzer,SCIAC Championships,24.24,R,https://www.swimcloud.com/results/310385/event/13/?id=146862037#time146862037,50 Free,14,NA
Sarah Radle,Occidental,Occidental Invite,24.36,R,https://www.swimcloud.com/results/321956/event/19/?id=137230610#time137230610,50 Free,34,NA
Emmy Luu,Pomona-Pitzer,CMS vs. Pomona-Pitzer,24.38,NA,https://www.swimcloud.com/results/324574/event/7/?id=138341927#time138341927,50 Free,–,NA
Allison Nguyen,C-M-S,SCIAC Championships,24.41,R,https://www.swimcloud.com/results/310385/event/13/?id=146862033#time146862033,50 Free,12,NA
Ashley Dangol,Pomona-Pitzer,CMS vs. Pomona-Pitzer,24.47,NA,https://www.swimcloud.com/results/324574/event/7/?id=138341940#time138341940,50 Free,–,NA
Maya Van Atta,Pomona-Pitzer,SCIAC Championships,24.48,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861322#time146861322,50 Free,NA,642
Taylor Park,Pomona-Pitzer,SCIAC Championships,24.51,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861317#time146861317,50 Free,NA,640
Annette Chang,C-M-S,CMS vs. Pomona-Pitzer,24.52,NA,https://www.swimcloud.com/results/324574/event/7/?id=138342098#time138342098,50 Free,1,NA
Gabby Calvi,Pomona-Pitzer,CMS vs. Pomona,24.56,NA,https://www.swimcloud.com/results/335979/event/11/?id=145468631#time145468631,50 Free,NA,636
Amaia Sherman,Pomona-Pitzer,CMS vs. Pomona,24.58,NA,https://www.swimcloud.com/results/335979/event/11/?id=145468635#time145468635,50 Free,NA,634
Megan Lei,Chapman,SCIAC Championships,24.59,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861281#time146861281,50 Free,NA,634
Mollie Appl,Pomona-Pitzer,SCIAC Championships,24.59,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861305#time146861305,50 Free,NA,634
Miranda Thompson,Chapman,SCIAC Championships,24.66,R,https://www.swimcloud.com/results/310385/event/13/?id=146862031#time146862031,50 Free,10,NA
Praise Okodogbe,C-M-S,SCIAC Championships,24.73,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861297#time146861297,50 Free,NA,623
Sun Young Byun,C-M-S,CMS vs. Pomona-Pitzer,24.74,R,https://www.swimcloud.com/results/324574/event/11/?id=138342255#time138342255,50 Free,–,NA
Maren Rusk,Pomona-Pitzer,CMS vs. Pomona,24.75,R,https://www.swimcloud.com/results/335979/event/35/?id=145468769#time145468769,50 Free,NA,NA
Avery Wells,Redlands,SCIAC Championships,24.75,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861338#time146861338,50 Free,1,NA
Nathalie Kerrigan,Occidental,SCIAC Championships,24.78,R,https://www.swimcloud.com/results/310385/event/13/?id=146862034#time146862034,50 Free,28,NA
Aanya Kongettira,C-M-S,CMS vs. Pomona-Pitzer,24.86,NA,https://www.swimcloud.com/results/324574/event/7/?id=138342108#time138342108,50 Free,–,NA
Owan Fralick,California Lutheran,SCIAC Championships,24.86,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861259#time146861259,50 Free,NA,613
Anna Werts,C-M-S,SCIAC Championships,24.89,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861300#time146861300,50 Free,NA,611
Karolina Dzieciol,Pomona-Pitzer,SCIAC Championships,24.98,X R,https://www.swimcloud.com/results/310385/event/40/?id=146862171#time146862171,50 Free,14,NA
Allison Xin,Caltech,SCIAC Championships,25.0,R,https://www.swimcloud.com/results/310385/event/13/?id=146862028#time146862028,50 Free,24,NA
Lyla Browne,C-M-S,CMS vs. Pomona-Pitzer,25.12,R,https://www.swimcloud.com/results/324574/event/11/?id=138342256#time138342256,50 Free,–,NA
Beatrice Cai,Caltech,SCIAC Championships,25.16,NA,https://www.swimcloud.com/results/310385/event/121/?id=146862197#time146862197,50 Free,NA,591
Sophia Chao,Chapman,Chapman vs. California Lutheran,25.19,NA,https://www.swimcloud.com/results/333909/event/13/?id=145364243#time145364243,50 Free,1,NA
Emily Yu,Caltech,SCIAC Championships,25.19,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861272#time146861272,50 Free,NA,589
Elizabeth Ma,Caltech,Occidental Invite,25.23,R,https://www.swimcloud.com/results/321956/event/19/?id=137230607#time137230607,50 Free,32,NA
Mary Louisa Leopold,Pomona-Pitzer,SCIAC Championships,25.24,NA,https://www.swimcloud.com/results/310385/event/111/?id=146862221#time146862221,50 Free,NA,586
Sammy Fujii,Chapman,Chapman vs. University of San Diego,25.26,NA,https://www.swimcloud.com/results/323855/event/7/?id=138296907#time138296907,50 Free,–,NA
Lucinda Hanstedt,C-M-S,CMS vs. Pomona-Pitzer,25.27,NA,https://www.swimcloud.com/results/324574/event/7/?id=138342209#time138342209,50 Free,–,NA
Ashlyn Walters,Chapman,SCIAC Championships,25.28,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861289#time146861289,50 Free,NA,583
Roxy Williams,Redlands,SCIAC Championships,25.28,R,https://www.swimcloud.com/results/310385/event/13/?id=146862040#time146862040,50 Free,26,NA
Kalla Pellettieri,Chapman,SCIAC Championships,25.35,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861284#time146861284,50 Free,20,NA
Anna Schrag,C-M-S,CMS vs. Pomona-Pitzer,25.37,NA,https://www.swimcloud.com/results/324574/event/7/?id=138342206#time138342206,50 Free,17,NA
Margo Barclay,Chapman,SCIAC Championships,25.37,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861273#time146861273,50 Free,16,NA
Maia Ciccarello,California Lutheran,Occidental Invite,25.39,NA,https://www.swimcloud.com/results/321956/event/9/?id=137230369#time137230369,50 Free,15,NA
Faith Timney,California Lutheran,SCIAC Championships,25.4,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861263#time146861263,50 Free,4,NA
Caroline Kundahl,Chapman,SCIAC Championships,25.41,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861280#time146861280,50 Free,NA,707
Paulina Naydenkov,Caltech,SCIAC Championships,25.41,NA,https://www.swimcloud.com/results/310385/event/121/?id=146862198#time146862198,50 Free,13,NA
Molly Beetner,C-M-S,Whittier vs. C-M-S vs. Chapman,25.44,R,https://www.swimcloud.com/results/318057/event/31/?id=135174205#time135174205,50 Free,12,NA
Ella Roberts,California Lutheran,SCIAC Championships,25.44,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861262#time146861262,50 Free,9,NA
CJ Smith,Chapman,Chapman vs. California Lutheran,25.48,NA,https://www.swimcloud.com/results/333909/event/13/?id=145364248#time145364248,50 Free,34,NA
Annika Mittelsteadt,Chapman,Chapman vs. California Lutheran,25.49,NA,https://www.swimcloud.com/results/333909/event/13/?id=145364247#time145364247,50 Free,NA,681
Grace Tuhabonye,Caltech,Occidental Invite,25.5,R,https://www.swimcloud.com/results/321956/event/19/?id=137230606#time137230606,50 Free,6.50,NA
Avalon Sanders,C-M-S,CMS vs. Occidental,25.52,NA,https://www.swimcloud.com/results/328613/event/13/?id=141689596#time141689596,50 Free,6.50,NA
Tera Schultz,Chapman,La Verne Invitational,25.55,NA,https://www.swimcloud.com/results/321222/event/7/?id=137406181#time137406181,50 Free,4,NA
Isabel Xu,Caltech,SCIAC Championships,25.56,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861270#time146861270,50 Free,NA,664
Cora Buelow,Chapman,La Verne Invitational,25.65,X R,https://www.swimcloud.com/results/321222/event/37/?id=137407706#time137407706,50 Free,5,NA
Kaile Itow,Redlands,SCIAC Championships,25.68,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861332#time146861332,50 Free,NA,661
Neve Dagdagan,La Verne,SCIAC Championships,25.7,R,https://www.swimcloud.com/results/310385/event/13/?id=146862038#time146862038,50 Free,14,NA
milan Manfredi,C-M-S,CMS vs. Pomona-Pitzer,25.75,NA,https://www.swimcloud.com/results/324574/event/7/?id=138342103#time138342103,50 Free,34,NA
Candace Farling,Occidental,SCIAC Championships,25.77,R,https://www.swimcloud.com/results/310385/event/13/?id=146862035#time146862035,50 Free,–,NA
Kelly Prawira,C-M-S,Caltech vs. C-M-S,25.84,NA,https://www.swimcloud.com/results/314105/event/15/?id=136111848#time136111848,50 Free,12,NA
Piper Guinn,Whittier,SCIAC Championships,25.97,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861340#time146861340,50 Free,–,NA
Joli Fong,California Lutheran,SCIAC Championships,26.01,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861258#time146861258,50 Free,NA,642
Alanna Baker,Pomona-Pitzer,"Pomoa Pitzer vs. Chapman, CIT",26.02,NA,https://www.swimcloud.com/results/332947/event/15/?id=143928826#time143928826,50 Free,NA,640
Abby Sellman,Chapman,Whittier vs. C-M-S vs. Chapman,26.04,NA,https://www.swimcloud.com/results/318057/event/13/?id=135174018#time135174018,50 Free,1,NA
Izzy Yoon,Pomona-Pitzer,Concordia v Pomona-Pitzer,26.1,X R,https://www.swimcloud.com/results/318660/event/31/?id=134703407#time134703407,50 Free,NA,636
Clara Yu,Caltech,SCIAC Championships,26.1,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861271#time146861271,50 Free,NA,634
Ellie Wang,Caltech,SCIAC Championships,26.11,R,https://www.swimcloud.com/results/310385/event/13/?id=146862029#time146862029,50 Free,NA,634
Bianca Bayer,Chapman,Chapman vs. University of San Diego,26.13,R,https://www.swimcloud.com/results/323855/event/25/?id=138296957#time138296957,50 Free,NA,634
Naomi Locala,Pomona-Pitzer,SCIAC Championships,26.14,X,https://www.swimcloud.com/results/310385/event/34/?id=146861231#time146861231,50 Free,10,NA
Cam Alexander,California Lutheran,Chapman vs. California Lutheran,26.15,NA,https://www.swimcloud.com/results/333909/event/13/?id=145364236#time145364236,50 Free,NA,623
Asha McClain,California Lutheran,Occidental Invite,26.19,NA,https://www.swimcloud.com/results/321956/event/9/?id=137230373#time137230373,50 Free,–,NA
Sammy Ennis,C-M-S,Redlands vs. C-M-S,26.19,NA,https://www.swimcloud.com/results/331913/event/15/?id=143936036#time143936036,50 Free,NA,NA
Kathy Munoz,Occidental,Occidental Invite,26.2,NA,https://www.swimcloud.com/results/321956/event/9/?id=137230384#time137230384,50 Free,1,NA
Hanna Hrstic,Chapman,Chapman vs. University of San Diego,26.22,NA,https://www.swimcloud.com/results/323855/event/7/?id=138296909#time138296909,50 Free,28,NA
Morgan Felix,Redlands,SCIAC Championships,26.22,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861329#time146861329,50 Free,–,NA
Nika Makhervaks,C-M-S,Cal Lu & LaVerne at CMS,26.23,NA,https://www.swimcloud.com/results/330051/event/13/?id=142391403#time142391403,50 Free,NA,613
Bella Ortiz,Chapman,SCIAC Championships,26.25,X,https://www.swimcloud.com/results/310385/event/34/?id=146861204#time146861204,50 Free,NA,611
Lindsey Habegger,La Verne,SCIAC Championships,26.26,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861327#time146861327,50 Free,14,NA
Tori Portillo,California Lutheran,Cal Lu & LaVerne at CMS,26.27,R,https://www.swimcloud.com/results/330051/event/31/?id=142391571#time142391571,50 Free,24,NA
Clara Van Note,Chapman,SCIAC Championships,26.29,X,https://www.swimcloud.com/results/310385/event/34/?id=146861206#time146861206,50 Free,–,NA
Alex Marumoto,Chapman,SCIAC Championships,26.3,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861283#time146861283,50 Free,NA,591
Abby Springer,Redlands,SCIAC Championships,26.35,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861335#time146861335,50 Free,1,NA
Ella Suazo,Redlands,SCIAC Championships,26.35,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861336#time146861336,50 Free,NA,589
Kamille Pellettieri,Occidental,Occidental vs. Caltech,26.37,R,https://www.swimcloud.com/results/319245/event/31/?id=135124126#time135124126,50 Free,32,NA
Mary Grace Martin,C-M-S,Caltech vs. C-M-S,26.39,NA,https://www.swimcloud.com/results/314105/event/15/?id=136111846#time136111846,50 Free,NA,586
Mia Kronson,Pomona-Pitzer,SCIAC Championships,26.41,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861311#time146861311,50 Free,–,NA
Alena Sharp,Pomona-Pitzer,Pomona-Pitzer vs. Redlands,26.42,R,https://www.swimcloud.com/results/328926/event/31/?id=142344177#time142344177,50 Free,–,NA
Anna Dyckerhoff,Whittier,SCIAC Championships,26.46,R,https://www.swimcloud.com/results/310385/event/13/?id=146862043#time146862043,50 Free,NA,583
Karen Zhou,Caltech,Whittier vs. Caltech,26.47,NA,https://www.swimcloud.com/results/328848/event/13/?id=144199135#time144199135,50 Free,26,NA
Andrea Bish,Pomona-Pitzer,Pomona-Pitzer vs. Redlands,26.48,R,https://www.swimcloud.com/results/328926/event/31/?id=142344179#time142344179,50 Free,20,NA
Katy Shaw,C-M-S,CMS vs. Pomona-Pitzer,26.55,X R,https://www.swimcloud.com/results/324574/event/37/?id=138342272#time138342272,50 Free,17,NA
Caitlin Kuhlmann,C-M-S,Cal Lu & LaVerne at CMS,26.64,NA,https://www.swimcloud.com/results/330051/event/13/?id=142391402#time142391402,50 Free,16,NA
Noel Partridge,California Lutheran,Cal Lu & LaVerne at CMS,26.65,R,https://www.swimcloud.com/results/330051/event/31/?id=142391573#time142391573,50 Free,15,NA
Kiana Li,Pomona-Pitzer,Cal Lutheran vs Pomona-Pitzer,26.67,R,https://www.swimcloud.com/results/319486/event/31/?id=135245056#time135245056,50 Free,4,NA
Sara Talmaci,Chapman,Chapman vs. California Lutheran,26.69,R,https://www.swimcloud.com/results/333909/event/31/?id=145364482#time145364482,50 Free,NA,707
Natalie Lee,Caltech,Whittier vs. Caltech,26.75,R,https://www.swimcloud.com/results/328848/event/31/?id=144199208#time144199208,50 Free,13,NA
Jedida Alvarez,La Verne,SCIAC Championships,26.76,R,https://www.swimcloud.com/results/310385/event/13/?id=146862039#time146862039,50 Free,12,NA
Caroline Agostini,Occidental,Occidental Invite,26.79,R,https://www.swimcloud.com/results/321956/event/19/?id=137230611#time137230611,50 Free,9,NA
Jenna Kimborowicz,Chapman,Whittier vs. C-M-S vs. Chapman,26.88,NA,https://www.swimcloud.com/results/318057/event/13/?id=135174016#time135174016,50 Free,34,NA
Marie Choi-Schattle,Caltech,SCIAC Championships,26.88,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861264#time146861264,50 Free,NA,681
Tara Hendrickson,Whittier,Whittier vs. Caltech,26.91,NA,https://www.swimcloud.com/results/328848/event/13/?id=144199137#time144199137,50 Free,6.50,NA
Lila Renke,Chapman,SCIAC Championships,26.91,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861285#time146861285,50 Free,6.50,NA
Julia Benko,California Lutheran,Occidental Invite,26.92,X R,https://www.swimcloud.com/results/321956/event/37/?id=137230644#time137230644,50 Free,4,NA
Lina Matera,Redlands,La Verne Invitational,26.99,X R,https://www.swimcloud.com/results/321222/event/37/?id=137407722#time137407722,50 Free,NA,664
Amanda George,Occidental,Chapman vs. Occidental,26.99,NA,https://www.swimcloud.com/results/329445/event/13/?id=142243454#time142243454,50 Free,5,NA
Ashlyn Woo,Chapman,Chapman vs. University of San Diego,27.0,NA,https://www.swimcloud.com/results/323855/event/7/?id=138296913#time138296913,50 Free,NA,661
Corley Smith,C-M-S,Cal Lu & LaVerne at CMS,27.04,X,https://www.swimcloud.com/results/330051/event/17/?id=142391393#time142391393,50 Free,14,NA
Lang Davison,Chapman,Whittier vs. C-M-S vs. Chapman,27.11,R,https://www.swimcloud.com/results/318057/event/31/?id=135174203#time135174203,50 Free,34,NA
Diya Kumar,Caltech,SCIAC Championships,27.13,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861267#time146861267,50 Free,–,NA
Laine Gilluly,California Lutheran,Rodionoff Invite,27.14,R,https://www.swimcloud.com/results/314508/event/1/?id=133086804#time133086804,50 Free,12,NA
Lily Florez,La Verne,SCIAC Championships,27.17,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861326#time146861326,50 Free,–,NA
Emma Fan,Caltech,SCIAC Championships,27.18,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861265#time146861265,50 Free,NA,642
Kyra Burns,C-M-S,CMS vs. Pomona,27.24,X,https://www.swimcloud.com/results/335979/event/27/?id=145468613#time145468613,50 Free,NA,640
Ava Holzkamp,California Lutheran,SCIAC Championships,27.24,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861260#time146861260,50 Free,1,NA
Alexis Anderson,Chapman,Chapman vs. Occidental,27.27,R,https://www.swimcloud.com/results/329445/event/31/?id=142243587#time142243587,50 Free,NA,636
KK Greer,La Verne,Caltech vs. La Verne,27.31,NA,https://www.swimcloud.com/results/314107/event/15/?id=144736081#time144736081,50 Free,NA,634
Sienna Bone,C-M-S,Cal Lu & LaVerne at CMS,27.33,R,https://www.swimcloud.com/results/330051/event/31/?id=142391577#time142391577,50 Free,NA,634
Aira Takeuchi,Whittier,Whittier vs. Caltech,27.36,R,https://www.swimcloud.com/results/328848/event/31/?id=144199210#time144199210,50 Free,NA,634
Taylor Stute,La Verne,Lewis & Clark vs. La Verne,27.39,R,https://www.swimcloud.com/results/319433/event/21/?id=135179862#time135179862,50 Free,10,NA
Kileigh Ackerman,Redlands,La Verne Invitational,27.39,NA,https://www.swimcloud.com/results/321222/event/7/?id=137406265#time137406265,50 Free,NA,623
Diana Lopez,Redlands,Redlands vs. Whittier vs. Occidental,27.51,R,https://www.swimcloud.com/results/332075/event/27/?id=144956612#time144956612,50 Free,–,NA
Mati Dixon,Chapman,Chapman vs. University of San Diego,27.54,R,https://www.swimcloud.com/results/323855/event/25/?id=138296959#time138296959,50 Free,NA,NA
Liz Won,Caltech,Occidental vs. Caltech,27.67,R,https://www.swimcloud.com/results/319245/event/31/?id=135124125#time135124125,50 Free,1,NA
Ana-Adela Duran,Redlands,Pomona-Pitzer vs. Redlands,27.7,R,https://www.swimcloud.com/results/328926/event/31/?id=142344181#time142344181,50 Free,28,NA
Emmie Appl,Pomona-Pitzer,Whittier vs. Pomona-Pitzer,27.72,X R,https://www.swimcloud.com/results/328847/event/31/?id=142214132#time142214132,50 Free,–,NA
Ava Arabshahi,Occidental,SCIAC Championships,27.72,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861301#time146861301,50 Free,NA,613
Cherise Wong,Caltech,SCIAC Championships,27.77,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861268#time146861268,50 Free,NA,611
Kae Tanabe,Pomona-Pitzer,CMS vs. Pomona,27.78,X,https://www.swimcloud.com/results/335979/event/27/?id=145468624#time145468624,50 Free,14,NA
Andrea Brenstrom,Redlands,SCIAC Championships,27.82,X,https://www.swimcloud.com/results/310385/event/34/?id=146861242#time146861242,50 Free,24,NA
Fernanda Garcia Rodriguez,Redlands,Redlands vs. Whittier vs. Occidental,27.89,NA,https://www.swimcloud.com/results/332075/event/13/?id=144956425#time144956425,50 Free,–,NA
Audrey Brown,Chapman,Bulldog Pentathlon,27.9,X,https://www.swimcloud.com/results/313580/event/7/?id=132862262#time132862262,50 Free,NA,591
Elizabeth Field,Caltech,SCIAC Championships,27.97,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861266#time146861266,50 Free,1,NA
Abby Raclaw,Pomona-Pitzer,Whittier vs. Pomona-Pitzer,28.0,X,https://www.swimcloud.com/results/328847/event/17/?id=142214050#time142214050,50 Free,NA,589
Jenna Davis,Chapman,Whittier vs. C-M-S vs. Chapman,28.04,X,https://www.swimcloud.com/results/318057/event/17/?id=135174072#time135174072,50 Free,32,NA
Madii Greer,Redlands,SCIAC Championships,28.12,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861331#time146861331,50 Free,NA,586
Kara Johnson,California Lutheran,SCIAC Championships,28.14,X,https://www.swimcloud.com/results/310385/event/34/?id=146861185#time146861185,50 Free,–,NA
Gessica King,Whittier,Whittier v California Lutheran,28.25,X R,https://www.swimcloud.com/results/320406/event/31/?id=135836570#time135836570,50 Free,–,NA
Eleanor McElwee,Chapman,Whittier vs. C-M-S vs. Chapman,28.27,X,https://www.swimcloud.com/results/318057/event/17/?id=135174073#time135174073,50 Free,NA,583
Rylie Kohl,Redlands,La Verne Invitational,28.27,R,https://www.swimcloud.com/results/321222/event/1/?id=137407660#time137407660,50 Free,26,NA
Sydney Snider,Chapman,Chapman vs. University of San Diego,28.29,NA,https://www.swimcloud.com/results/323855/event/7/?id=138296912#time138296912,50 Free,20,NA
Dru Bauman,California Lutheran,Occidental Invite,28.35,X R,https://www.swimcloud.com/results/321956/event/37/?id=137230645#time137230645,50 Free,17,NA
Miriam Brownell,Whittier,Whittier vs. C-M-S vs. Chapman,28.42,NA,https://www.swimcloud.com/results/318057/event/13/?id=135174023#time135174023,50 Free,16,NA
Sydney Kerns,Redlands,SCIAC Championships,28.52,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861333#time146861333,50 Free,15,NA
Kylee Edwards,Chapman,Chapman vs. California Lutheran,28.68,NA,https://www.swimcloud.com/results/333909/event/13/?id=145364244#time145364244,50 Free,4,NA
Marisol Varela,La Verne,SCIAC Championships,28.87,NA,https://www.swimcloud.com/results/310385/event/11/?id=146861328#time146861328,50 Free,NA,707
Sara Dawidian,La Verne,Chapman vs. La Verne,28.96,R,https://www.swimcloud.com/results/328137/event/9/?id=141731102#time141731102,50 Free,13,NA
Bella Cabral,Whittier,Whittier vs. Caltech,28.99,R,https://www.swimcloud.com/results/328848/event/31/?id=144199211#time144199211,50 Free,12,NA
Madry Breazeale,C-M-S,Caltech vs. C-M-S,29.02,NA,https://www.swimcloud.com/results/314105/event/15/?id=136111842#time136111842,50 Free,9,NA
Florence Lo,Occidental,Bulldog Pentathlon,29.18,X,https://www.swimcloud.com/results/313580/event/7/?id=132883619#time132883619,50 Free,34,NA
Ella Reedy,Occidental,Occidental vs. Caltech,29.32,NA,https://www.swimcloud.com/results/319245/event/17/?id=135124110#time135124110,50 Free,NA,681
Kate Jenne,Chapman,Bulldog Pentathlon,29.41,X,https://www.swimcloud.com/results/313580/event/7/?id=132862266#time132862266,50 Free,6.50,NA
Harper Tarros,Redlands,SCIAC Championships,29.43,X,https://www.swimcloud.com/results/310385/event/34/?id=146861248#time146861248,50 Free,6.50,NA
Maria Fernanda Garica Rodriguez,Redlands,Caltech vs. California Lutheran vs. Redlands,29.5,NA,https://www.swimcloud.com/results/314106/event/15/?id=141682738#time141682738,50 Free,4,NA
Dania NOUR,California Lutheran,Occidental Invite,29.64,R,https://www.swimcloud.com/results/321956/event/19/?id=137230605#time137230605,50 Free,NA,664
Riana Barrett,Whittier,Bulldog Pentathlon,29.68,X,https://www.swimcloud.com/results/313580/event/7/?id=132993114#time132993114,50 Free,5,NA
Kyler Brumfield,Occidental,Bulldog Pentathlon,29.87,X,https://www.swimcloud.com/results/313580/event/7/?id=132879792#time132879792,50 Free,NA,661
Palak Dhami,Chapman,Chapman vs. University of San Diego,29.88,NA,https://www.swimcloud.com/results/323855/event/7/?id=138296906#time138296906,50 Free,14,NA
Grace Davis,Caltech,Whittier vs. Caltech,29.91,R,https://www.swimcloud.com/results/328848/event/31/?id=144199209#time144199209,50 Free,34,NA
Emily Kinney,Chapman,Bulldog Pentathlon,30.0,X,https://www.swimcloud.com/results/313580/event/7/?id=132862269#time132862269,50 Free,–,NA
Elle Howson,Occidental,Bulldog Pentathlon,30.18,X,https://www.swimcloud.com/results/313580/event/7/?id=132882851#time132882851,50 Free,12,NA
Mackenzie Neese,Redlands,Bulldog Pentathlon,30.4,X,https://www.swimcloud.com/results/313580/event/7/?id=132886381#time132886381,50 Free,–,NA
Nora Kane,Caltech,Whittier vs. Caltech,31.71,NA,https://www.swimcloud.com/results/328848/event/13/?id=144199133#time144199133,50 Free,NA,642
Allie Haluska,Whittier,La Verne Invitational,31.96,X,https://www.swimcloud.com/results/321222/event/31/?id=137406532#time137406532,50 Free,NA,640
Analise Belasco,Redlands,Bulldog Pentathlon,32.17,X,https://www.swimcloud.com/results/313580/event/7/?id=132886372#time132886372,50 Free,1,NA
Audra Baruch,Occidental,Chapman vs. Occidental,35.05,NA,https://www.swimcloud.com/results/329445/event/13/?id=142243453#time142243453,50 Free,NA,636
Riley Kawasaki,Occidental,Redlands vs. Whittier vs. Occidental,41.25,NA,https://www.swimcloud.com/results/332075/event/13/?id=144956422#time144956422,50 Free,NA,634
Violet Schultz,Occidental,Redlands vs. Whittier vs. Occidental,44.67,NA,https://www.swimcloud.com/results/332075/event/13/?id=144956424#time144956424,50 Free,NA,634
Valerie Mello,Pomona-Pitzer,SCIAC Championships,49.95,D3 B,https://www.swimcloud.com/results/310385/event/34/?id=146861234#time146861234,100 Free,20,NA
Nina Aballea,Pomona-Pitzer,SCIAC Championships,50.5,D3 B,https://www.swimcloud.com/results/310385/event/34/?id=146861223#time146861223,100 Free,17,NA
Francesca Coppo,Pomona-Pitzer,SCIAC Championships,50.89,D3 B,https://www.swimcloud.com/results/310385/event/34/?id=146861226#time146861226,100 Free,16,NA
