Year,Enrolled,Applicants,Admits,Gross Deposits,Net Deposits
2022,602,5083,4237,317,317
2023,575,5229,4511,314,306
2024,502,5926,4460,221,221
2025,410,5982,4548,235,233
2026,,6834,5257,252,251
